HostID	Host_Mstar	Host_Sersic	SatID	Sat_Mstar	Sat_pos
25	102898288222.9626	nan	320	10659242873.377262	[-3.78763733e+01 -4.27582339e+00 -2.49947596e+04]
25	102898288222.9626	nan	417	2240376707.855013	[ 8.47114039e+00  1.28236822e+02 -2.48839517e+04]
25	102898288222.9626	nan	2488	80481827.07970503	[    33.93267822    -61.10745006 -24829.31696187]
25	102898288222.9626	nan	1915	641330368.4013014	[-168.53068882   15.05708172  -78.29309673]
21	117857531042.91524	5.937300884240355	179	21165945172.735462	[-33.07343467 -16.6500205   13.55120223]
21	117857531042.91524	5.937300884240355	572	2436730257.8150363	[-118.00385237  123.28857614  -59.35177644]
21	117857531042.91524	5.937300884240355	1456	111337145.22621618	[ 156.7443435   127.00663433 -132.15276754]
21	117857531042.91524	5.937300884240355	3335	11854057.405597841	[125.55450506   2.84650586  96.10724516]
21	117857531042.91524	5.937300884240355	3510	10219593.467421241	[ 7.13157492 20.54563499 86.33146223]
21	117857531042.91524	5.937300884240355	3637	289884068.93961287	[118.90687575 170.2926165  167.81015959]
21	117857531042.91524	5.937300884240355	340	8827823214.910313	[-149.02633327    6.88710097   24.97286434]
21	117857531042.91524	5.937300884240355	3502	32046919.438122146	[-297.78094415  -23.6307269   -17.32812479]
23	86272219016.69829	43.29881899781922	311	8186159853.522704	[ 23.60249099  49.08565815 209.73628575]
23	86272219016.69829	43.29881899781922	893	1790194095.714419	[-134.59760416   22.33836032  -59.54628205]
23	86272219016.69829	43.29881899781922	925	623418607.110303	[  37.28379398   72.05737906 -139.96886308]
23	86272219016.69829	43.29881899781922	1026	269571378.0605806	[ -73.58654507 -124.36012254 -216.03876029]
23	86272219016.69829	43.29881899781922	2435	229595646.10604832	[-149.06136427  122.44193761  197.51975093]
16	188444750803.13803	5.98310031294443	549	935236431.5995215	[ -29.08354967  210.51718618 -155.70403818]
16	188444750803.13803	5.98310031294443	629	2067110806.1125534	[-138.90622039    3.1944903    45.51714918]
16	188444750803.13803	5.98310031294443	1196	558893753.5841546	[   2.09159331 -179.73044841  151.350094  ]
16	188444750803.13803	5.98310031294443	2751	87351894.30107288	[  68.72114454 -224.78396202   31.27582733]
26	117679621280.76695	5.549374573651542	151	20787644130.56471	[ 126.50449981 -109.73207939  -28.26683277]
26	117679621280.76695	5.549374573651542	1725	337708987.7620176	[ 18.72721402 -27.12167828 -82.60053309]
28	77814358888.47896	45.90218734650668	394	5326171408.381636	[ -4.6374337   76.87964171 -67.96668167]
28	77814358888.47896	45.90218734650668	2417	312041130.1937943	[ 18.04632346  76.3836201  -81.30227328]
28	77814358888.47896	45.90218734650668	2540	81617598.95141067	[  3.99157975 -53.84522574 -51.50574363]
28	77814358888.47896	45.90218734650668	3373	29431792.28493669	[143.70590077 -96.74193312 -30.98039663]
28	77814358888.47896	45.90218734650668	3376	439589488.2756349	[ 35.22814255  -0.70453492 -15.90351839]
37	60588426398.767	12.409103812602716	411	5822771983.523019	[  8.51003548  74.91918189 -68.72899749]
37	60588426398.767	12.409103812602716	1657	27045568.54316534	[104.03679159 -37.06761117 -94.63075256]
37	60588426398.767	12.409103812602716	1991	24912622.78052544	[-15.92938853 286.7799332   12.71044146]
37	60588426398.767	12.409103812602716	3998	142843944.8573798	[-35.65243258 -47.40759475 -61.82573791]
32	76981332249.4997	1.3831036631051947	57	52089409115.18858	[167.42368256 -37.91476402 -57.74123209]
32	76981332249.4997	1.3831036631051947	2492	75557091.61012562	[153.3559681   34.91304282  84.58451408]
32	76981332249.4997	1.3831036631051947	2524	206332333.25978714	[ 143.03890376  -37.53172577 -138.28481889]
