log10Mvir,n_particles,sim
10.854229502043227,3034946.0,h148
10.52718248892914,1493719.0,h148
10.379544812446246,928433.0,h148
9.89209515947792,313699.0,h148
9.790640478471976,233662.0,h148
9.773671641536536,210553.0,h148
9.37194296123182,106283.0,h148
9.254854899136225,62628.0,h148
9.132384579277069,49687.0,h148
9.10077363144677,43909.0,h148
9.042075175389375,38947.0,h148
8.972485639596599,32683.0,h148
8.850844654464675,30200.0,h148
8.868025171532942,25694.0,h148
8.862524333440392,25368.0,h148
8.820984585541025,23054.0,h148
8.645109700684783,15377.0,h148
8.605512983537263,14037.0,h148
8.579338788502582,13216.0,h148
8.565923341581613,12814.0,h148
8.51605652674295,11424.0,h148
8.510354629544745,11275.0,h148
8.445725601966286,9716.0,h148
8.365111558049412,8070.0,h148
8.356194185424153,7906.0,h148
8.338709426354747,7594.0,h148
8.337964147029739,7581.0,h148
8.317497130434012,7232.0,h148
8.295701215775514,6878.0,h148
8.28151741532679,6657.0,h148
8.27857756172612,6651.0,h148
8.260464938130848,6342.0,h148
8.237546251413853,6016.0,h148
8.233922125294095,5966.0,h148
8.229973491986305,5912.0,h148
7.995776427007638,5724.0,h148
8.200412701197246,5523.0,h148
8.169598029120898,5514.0,h148
8.195988162009968,5467.0,h148
8.190872128456103,5403.0,h148
8.187402260732469,5360.0,h148
8.171559722760282,5168.0,h148
8.14781230976194,4893.0,h148
8.147725778448104,4892.0,h148
8.113729493146094,4727.0,h148
8.120241502929776,4592.0,h148
8.116630985425779,4554.0,h148
8.10630651235359,4447.0,h148
8.017575868391074,4343.0,h148
8.089986313384848,4283.0,h148
8.083344926540944,4218.0,h148
8.073872250232478,4127.0,h148
8.062935292263425,4027.0,h148
8.057574824023991,3975.0,h148
8.042567637582179,3840.0,h148
8.039620310523244,3814.0,h148
8.006872334662042,3537.0,h148
7.99831732769066,3468.0,h148
7.995301229758524,3444.0,h148
7.99289887212432,3425.0,h148
7.987797159070481,3385.0,h148
7.981204091991302,3334.0,h148
7.974641547175646,3284.0,h148
7.969798314517705,3252.0,h148
7.969586893793705,3246.0,h148
7.953227487881578,3126.0,h148
7.952671385348004,3122.0,h148
7.931140933686534,2971.0,h148
7.925254319270089,2931.0,h148
7.922578592854709,2913.0,h148
7.8995699177140875,2806.0,h148
7.90415379025262,2792.0,h148
7.895195393729063,2735.0,h148
7.895195393729063,2735.0,h148
7.891047136252274,2709.0,h148
7.882139023039606,2654.0,h148
7.882139023039606,2654.0,h148
7.881648235180803,2651.0,h148
7.879677799764999,2639.0,h148
7.878688932243796,2633.0,h148
7.868340502232707,2571.0,h148
7.8359086149981625,2386.0,h148
7.827082880347814,2338.0,h148
7.814264247808451,2270.0,h148
7.802630760744995,2210.0,h148
7.798285933547237,2188.0,h148
7.793093698212488,2162.0,h148
7.784333375211659,2118.0,h148
7.7788000357877465,2092.0,h148
7.775256461168654,2075.0,h148
7.7735787528473645,2067.0,h148
7.7704160262072834,2052.0,h148
7.763159097026882,2018.0,h148
7.763159097026882,2018.0,h148
7.7570914603308605,1990.0,h148
7.745367607290579,1937.0,h148
7.744020583334892,1931.0,h148
7.743119979107993,1927.0,h148
7.738817012330611,1908.0,h148
7.73538888670613,1893.0,h148
7.729847294632622,1869.0,h148
7.729847294632622,1869.0,h148
7.728218196038992,1862.0,h148
7.724470029574315,1846.0,h148
7.722819773960321,1839.0,h148
7.716396536169619,1812.0,h148
7.715916476051371,1810.0,h148
7.714234170904112,1803.0,h148
7.713510703298285,1800.0,h148
7.713510703298285,1800.0,h148
7.703256977193307,1758.0,h148
7.698037877369265,1737.0,h148
7.694523596546808,1723.0,h148
7.691488176316267,1711.0,h148
7.68894279624818,1701.0,h148
7.6884313911688285,1699.0,h148
7.6884313911688285,1699.0,h148
7.683289346596087,1679.0,h148
7.656620383528702,1579.0,h148
7.653861540093925,1569.0,h148
7.651363313465452,1560.0,h148
7.642077538901548,1527.0,h148
7.640081741929801,1520.0,h148
7.6375027381385685,1511.0,h148
7.635775189280933,1505.0,h148
7.635775189280933,1505.0,h148
7.6337501506220065,1498.0,h148
7.63087516117485,1489.0,h148
7.629379013907319,1483.0,h148
7.624668765529028,1467.0,h148
7.6237794263907555,1464.0,h148
7.619006671880455,1448.0,h148
7.612966010346005,1428.0,h148
7.604056407433451,1399.0,h148
7.6006277175695995,1388.0,h148
7.599374278604862,1384.0,h148
7.59906062611009,1383.0,h148
7.598746746928134,1382.0,h148
7.598746746928134,1382.0,h148
7.596541018541464,1375.0,h148
7.595909376588209,1373.0,h148
7.595592108751965,1372.0,h148
