HostID	Host_Mstar	SatID	Sat_Mstar	Sat_pos
25	102898288222.9626	320	10659242873.377262	[-3.78763733e+01 -4.27582339e+00 -2.49947596e+04]
25	102898288222.9626	417	2240376707.855013	[ 8.47114039e+00  1.28236822e+02 -2.48839517e+04]
25	102898288222.9626	2488	80481827.07970503	[    33.93267822    -61.10745006 -24829.31696187]
25	102898288222.9626	1915	641330368.4013014	[-168.53068882   15.05708172  -78.29309673]
21	117857531042.91524	179	21165945172.735462	[-33.07343467 -16.6500205   13.55120223]
21	117857531042.91524	572	2436730257.8150363	[-118.00385237  123.28857614  -59.35177644]
21	117857531042.91524	1456	111337145.22621618	[ 156.7443435   127.00663433 -132.15276754]
21	117857531042.91524	3335	11854057.405597841	[125.55450506   2.84650586  96.10724516]
21	117857531042.91524	3510	10219593.467421241	[ 7.13157492 20.54563499 86.33146223]
21	117857531042.91524	3637	289884068.93961287	[118.90687575 170.2926165  167.81015959]
21	117857531042.91524	340	8827823214.910313	[-149.02633327    6.88710097   24.97286434]
21	117857531042.91524	3502	32046919.438122146	[-297.78094415  -23.6307269   -17.32812479]
23	86272219016.69829	311	8186159853.522704	[ 23.60249099  49.08565815 209.73628575]
23	86272219016.69829	578	1261087804.497037	[ -99.20705021  257.69537537 -320.1101251 ]
23	86272219016.69829	893	1790194095.714419	[-134.59760416   22.33836032  -59.54628205]
23	86272219016.69829	925	623418607.110303	[  37.28379398   72.05737906 -139.96886308]
23	86272219016.69829	1026	269571378.0605806	[ -73.58654507 -124.36012254 -216.03876029]
23	86272219016.69829	2435	229595646.10604832	[-149.06136427  122.44193761  197.51975093]
16	188444750803.13803	549	935236431.5995215	[ -29.08354967  210.51718618 -155.70403818]
16	188444750803.13803	1624	44670004.82171555	[196.95188136 243.74232919 -53.36844036]
16	188444750803.13803	2739	12350612.574085243	[ 356.85189862  186.78765429 -251.33214112]
16	188444750803.13803	212	14622211347.168522	[  79.01290079 -240.10839692 -224.40542702]
16	188444750803.13803	629	2067110806.1125534	[-138.90622039    3.1944903    45.51714918]
16	188444750803.13803	1196	558893753.5841546	[   2.09159331 -179.73044841  151.350094  ]
16	188444750803.13803	1957	102829356.53999886	[-190.5723587    29.61049066 -240.83995701]
16	188444750803.13803	2751	87351894.30107288	[  68.72114454 -224.78396202   31.27582733]
26	117679621280.76695	151	20787644130.56471	[ 126.50449981 -109.73207939  -28.26683277]
26	117679621280.76695	1725	337708987.7620176	[ 18.72721402 -27.12167828 -82.60053309]
28	77814358888.47896	394	5326171408.381636	[ -4.6374337   76.87964171 -67.96668167]
28	77814358888.47896	2417	312041130.1937943	[ 18.04632346  76.3836201  -81.30227328]
28	77814358888.47896	2540	81617598.95141067	[  3.99157975 -53.84522574 -51.50574363]
28	77814358888.47896	3373	29431792.28493669	[143.70590077 -96.74193312 -30.98039663]
28	77814358888.47896	3376	439589488.2756349	[ 35.22814255  -0.70453492 -15.90351839]
28	77814358888.47896	786	625403903.3190348	[ 254.79167883 -172.76165524  105.70588496]
37	60588426398.767	411	5822771983.523019	[  8.51003548  74.91918189 -68.72899749]
37	60588426398.767	1657	27045568.54316534	[104.03679159 -37.06761117 -94.63075256]
37	60588426398.767	1889	15978839.800003322	[  99.61417776  283.85573292 -139.12074873]
37	60588426398.767	1991	24912622.78052544	[-15.92938853 286.7799332   12.71044146]
37	60588426398.767	3998	142843944.8573798	[-35.65243258 -47.40759475 -61.82573791]
37	60588426398.767	1179	58806598.49252218	[-263.33342682 -166.27372413  -51.62582046]
37	60588426398.767	3803	12498170.893828452	[-157.51961399 -291.22770343   44.0339515 ]
32	76981332249.4997	57	52089409115.18858	[167.42368256 -37.91476402 -57.74123209]
32	76981332249.4997	2492	75557091.61012562	[153.3559681   34.91304282  84.58451408]
32	76981332249.4997	2524	206332333.25978714	[ 143.03890376  -37.53172577 -138.28481889]
32	76981332249.4997	156	18078626133.86601	[ 40.08523354  13.09712788 175.01947646]
32	76981332249.4997	2227	49576000.11888784	[ -71.0213534  -194.91020188   68.82629915]
32	76981332249.4997	2702	69807873.30562541	[128.77064593 153.16590311  39.37111647]
32	76981332249.4997	3543	55231219.932944626	[ 125.07318158 -118.41982266  120.49004453]
32	76981332249.4997	3795	16036328.72909655	[ 95.50641877 -27.62187316  -2.02541901]
38	73252433871.98828	758	1357774807.455164	[-102.32416551   69.78911478  232.45102924]
38	73252433871.98828	3777	15290818.697223824	[  77.44067526 -106.46557239 -294.79413703]
38	73252433871.98828	3966	39982609.55091065	[  82.15162733   98.12844216 -151.27390252]
19	129352556207.37599	123	11983478926.913485	[-238.58259738  146.26955113  -18.87403158]
19	129352556207.37599	397	8049486910.483081	[-20.20042179 -90.53925842 -86.10715785]
19	129352556207.37599	589	1704644495.6927283	[ 299.82186713 -279.26441655  -84.11289463]
19	129352556207.37599	620	1550473714.2234337	[-288.3049425   128.92540887  -51.20317623]
19	129352556207.37599	3040	37381224.09221896	[  85.63103027 -142.92521164  408.8162116 ]
19	129352556207.37599	3132	19745328.886820734	[ 197.22569306 -257.4522222    -1.67865881]
19	129352556207.37599	3486	14361119.223903207	[  50.2668772   -38.14094984 -158.91095477]
19	129352556207.37599	3740	142748925.86302844	[ 93.52243303 -18.35877823  82.13560493]
19	129352556207.37599	3751	37080092.781513125	[214.49256596 131.98329228 -11.49326628]
29	79152135540.27214	825	1718404613.3569627	[-76.54532535  51.52601023 -26.08015901]
29	79152135540.27214	849	375098671.0304763	[  -2.87791303 -116.1343375   -19.17556118]
29	79152135540.27214	986	791105503.4917579	[  36.93545925 -125.3155546   129.62518122]
29	79152135540.27214	1731	155364099.74823886	[  39.7478604  -222.87763515  181.42960818]
29	79152135540.27214	2847	220550018.74677244	[  16.60191905 -114.23553238  -47.45312948]
29	79152135540.27214	3351	104314746.90243085	[-54.36772223  47.34958314  25.91528076]
27	101494976719.80847	61	30264875540.780598	[-115.09881507   78.29799196 -246.98046782]
27	101494976719.80847	857	2673607430.5742483	[  8.25734703 -23.18251202  52.93641702]
27	101494976719.80847	1282	320757149.5186952	[-159.12661862   13.9955193   102.23249279]
27	101494976719.80847	1709	105813564.62045847	[ 325.63443906 -111.86341764  -75.62487273]
27	101494976719.80847	2072	263615495.278567	[ 28.74632965 -12.85430455 -15.43039799]
27	101494976719.80847	2188	34665332.195610814	[-292.11824648  125.73153216  202.34867528]
27	101494976719.80847	2688	204619776.42707834	[  -9.73644862  107.96374356 -115.93909684]
27	101494976719.80847	3481	51887069.07305607	[ -14.09028649   22.49742879 -287.37964076]
20	155681550788.76422	409	3137393601.087413	[  -7.68962246  279.16837455 -234.59986408]
20	155681550788.76422	1985	156696592.82727623	[ -43.95030143 -242.25635455  194.98636369]
20	155681550788.76422	2650	112769359.19222082	[181.62556549  -5.86587732 200.19693547]
20	155681550788.76422	3829	14360761.122724809	[ 167.45765492 -229.9322672  -329.63820916]
20	155681550788.76422	755	187862514.99790692	[-313.61357823  200.14559396  186.13369078]
17	140694938710.00974	1447	88492462.51178677	[ 73.38201595 249.16954358 344.27316648]
17	140694938710.00974	254	12009995800.941408	[  87.93505282 -134.63918301  -31.28101541]
17	140694938710.00974	446	3980744418.9940066	[-293.1075199   217.3857551   108.30521881]
17	140694938710.00974	543	4202711746.4399204	[  -3.83218147 -109.54138185   95.40492788]
17	140694938710.00974	2522	324469242.09805995	[-33.36371972 -60.64991009  36.20221853]
17	140694938710.00974	2748	20536217.377609998	[455.05296525  18.25593538 -28.17609247]
17	140694938710.00974	3113	21638790.39945218	[-185.12641237   84.66606767   47.0415421 ]
17	140694938710.00974	3251	148266609.86246526	[  16.43755309 -153.49908808   63.13287318]
17	140694938710.00974	3388	28287868.198128596	[ 227.01640165 -180.80552611  147.64878577]
17	140694938710.00974	110	22998738852.73044	[-271.72896845  298.50243122   24.00567338]
34	63719996643.262985	3162	41077603.76786604	[  37.04669374   92.95645587 -150.59923935]
18	105357615230.77673	429	7162164107.851244	[ 67.97378904 129.01118326  15.20250323]
18	105357615230.77673	487	5564687984.565936	[-95.97324796 -90.7259614   -2.21035263]
18	105357615230.77673	898	1567997584.0600638	[-64.12090292 -53.26292199 166.68706507]
18	105357615230.77673	1589	671262049.1623319	[ 74.50368066  55.62813956 -42.4250024 ]
18	105357615230.77673	2515	27043481.78356065	[ 146.83765524 -245.03429307  -73.18026779]
