HostID	Host_Mstar	Host_Sersic	SatID	Sat_Mstar	Sat_pos
41	70001655924.3632	5.465946240685363	303	6118535779.830952	[ -1.01995463 -74.93538179 139.35237197]
41	70001655924.3632	5.465946240685363	907	1014136605.7725201	[-20.94931134 -44.11794779 161.96383341]
67	25073400141.956367	4.1820389525507435	3036	180095937.6718302	[ 49.82866268 -17.45259276  46.105514  ]
81	31033088225.96481	5.302855827770013	1408	167065385.20948124	[-31.12632078  82.68673401  -1.15613056]
81	31033088225.96481	5.302855827770013	3696	46273931.70668678	[13.94024599 61.47811681 18.14488228]
65	34354355457.410553	2.9207117653903603	806	155679870.9958283	[109.39488548 169.06126557 -15.94659247]
88	27030147712.950695	1.9575251851937883	2628	10438150.726262663	[-27.38580294 -21.32164049  67.75440417]
76	21839214850.457535	5.576257455233082	363	2985708876.246517	[145.35285702 -69.63636123  56.60085178]
76	21839214850.457535	5.576257455233082	2744	17810971.29877774	[-130.34131668   26.65814795   29.29627817]
76	21839214850.457535	5.576257455233082	2797	73934552.44775227	[-10.85947588  63.19978696  -3.06145873]
43	38607766835.23122	4.251394811268644	1417	97531815.85220507	[-41.61718907 -49.58242699 129.83308897]
43	38607766835.23122	4.251394811268644	1460	411088654.67786753	[ 60.52151377  24.93187702 -63.11675924]
43	38607766835.23122	4.251394811268644	1965	241921236.7311671	[-15.19419367  88.13534978 -30.83034587]
68	26450806758.635952	2.731670760644545	2284	84839173.947396	[  82.88714496   -3.01707039 -152.31362698]
124	16787264786.972746	4.297682662326751	2852	115412311.74680336	[ 17.99957111 -61.40062672  49.8989947 ]
23	86272219016.69829	43.29881899781922	311	8186159853.522704	[ 23.60249099  49.08565815 209.73628575]
23	86272219016.69829	43.29881899781922	893	1790194095.714419	[-134.59760416   22.33836032  -59.54628205]
23	86272219016.69829	43.29881899781922	925	623418607.110303	[  37.28379398   72.05737906 -139.96886308]
23	86272219016.69829	43.29881899781922	1026	269571378.0605806	[ -73.58654507 -124.36012254 -216.03876029]
23	86272219016.69829	43.29881899781922	2435	229595646.10604832	[-149.06136427  122.44193761  197.51975093]
93	25748356565.72894	2.227362873248498	967	106714707.3407465	[-143.83793029  -50.98765005  201.80305151]
93	25748356565.72894	2.227362873248498	2468	18059616.202946957	[-166.61329431  -12.26674687  186.05419615]
70	35940269921.618614	5.1092284110267006	2560	12548349.418627786	[-236.02229378   30.72970925  115.21912155]
121	16539773933.86193	1.8885744583108792	961	358800354.6579007	[-68.59713176  60.19774306 -49.70805363]
121	16539773933.86193	1.8885744583108792	1116	28844669.713122375	[   9.05895778 -142.91739043  117.61627707]
121	16539773933.86193	1.8885744583108792	1403	95036469.61771372	[ 68.50461141  -6.66410956 -64.25802353]
163	16473409844.654257	3.1157172689366717	569	494236880.5737977	[  64.02868138 -118.88839558 -234.80541095]
71	40361742774.678925	2.167498613716663	2083	14475453.800747927	[285.88110813  52.34064996 -33.43645359]
66	34772624807.68468	3.367765127095438	2426	11083686.388435425	[  79.56586234 -103.34759561   27.1533285 ]
28	77814358888.47896	45.90218734650668	394	5326171408.381636	[ -4.6374337   76.87964171 -67.96668167]
28	77814358888.47896	45.90218734650668	2417	312041130.1937943	[ 18.04632346  76.3836201  -81.30227328]
28	77814358888.47896	45.90218734650668	2540	81617598.95141067	[  3.99157975 -53.84522574 -51.50574363]
28	77814358888.47896	45.90218734650668	3373	29431792.28493669	[143.70590077 -96.74193312 -30.98039663]
28	77814358888.47896	45.90218734650668	3376	439589488.2756349	[ 35.22814255  -0.70453492 -15.90351839]
37	60588426398.767	12.409103812602716	411	5822771983.523019	[  8.51003548  74.91918189 -68.72899749]
37	60588426398.767	12.409103812602716	1657	27045568.54316534	[104.03679159 -37.06761117 -94.63075256]
37	60588426398.767	12.409103812602716	1991	24912622.78052544	[-15.92938853 286.7799332   12.71044146]
37	60588426398.767	12.409103812602716	3998	142843944.8573798	[-35.65243258 -47.40759475 -61.82573791]
77	31035962353.331318	3.662866705949364	3329	100771510.60824217	[-56.72521891  24.5844378  -25.14328077]
38	73252433871.98828	2.668087978185771	758	1357774807.455164	[-102.32416551   69.78911478  232.45102924]
38	73252433871.98828	2.668087978185771	3966	39982609.55091065	[  82.15162733   98.12844216 -151.27390252]
42	61046511150.37285	6.229557122566593	1040	244387023.26544017	[ -5.31848304 -42.80035686  93.24883036]
42	61046511150.37285	6.229557122566593	2221	565005240.489938	[54.08528155  1.16475731 27.29313957]
42	61046511150.37285	6.229557122566593	2345	43724151.57510717	[ 10.31394653 -38.99129859   5.75343145]
42	61046511150.37285	6.229557122566593	3243	15398095.844768208	[113.33633047 -31.33335406  62.01876761]
47	48027673042.22839	2.07792121026645	774	1648538716.3727388	[ 61.76243793 -14.93190827 111.12040372]
47	48027673042.22839	2.07792121026645	2691	16467176.96489955	[ 112.21076596 -160.62569899  101.12940994]
118	35376385539.08122	nan	11	167218772353.98373	[-10.79431047  36.77802767  63.5666344 ]
118	35376385539.08122	nan	1825	414532610.9719291	[ -16.89808114  212.44816257 -161.92905404]
118	35376385539.08122	nan	2139	87715913.83222553	[-132.01826113   -0.76389127 -100.37719989]
118	35376385539.08122	nan	2290	460821413.0738154	[ 53.40423315 -25.52378621 257.6224802 ]
118	35376385539.08122	nan	2855	271274819.51771843	[ -82.22444772    6.78026728 -132.45779014]
